userID,itemID,rating,timestamp,service_name,service_sector,service_keyword
,1,,,বয়লার রেজিস্ট্রেশন আবেদন,12,"বয়লার, বয়লার রেজিস্ট্রেশন "
,10,,,ছুটির জন্য আবেদন,19,"ছুটির জন্য আবেদন, আবেদন, ছুটি,  Apply for leave"
,100,,,বিনা ময়নাতদন্তে লাশ দাফনের আবেদন,36,"বিনা ময়নাতদন্তে লাশ দাফনের আবেদন, বিনা, ময়নাতদন্তে, লাশ, দাফন, Application for burial without autopsy, Application, burial, without, autopsy"
,1000,,,সাধারণ আবেদন (যৌথ নদী কমিশন),19,সাধারণ আবেদন
,1003,,,সাধারণ ভবিষ্য তহবিল হতে অগ্রিম উত্তোলনের আবেদন (যৌথ নদী কমিশন),19,সাধারণ ভবিষ্য তহবিল হতে অগ্রিম উত্তোলনের আবেদন
,1005,,,মাতৃত্ব ছুটি (যৌথ নদী কমিশন),19,মাতৃত্ব ছুটি
,1007,,,চিকিৎসা ছুটি (যৌথ নদী কমিশন),19,চিকিৎসা ছুটি
,101,,,ভূমি অধিগ্রহণ সংক্রান্ত তথ্য প্রদান,1,"ভূমি অধিগ্রহণ সংক্রান্ত তথ্য প্রদান, ভূমি, অধিগ্রহণ, সংক্রান্ত, তথ্য, প্রদান, Providing, information, regarding, land, acquisition, Providing information regarding land acquisition"
,1010,,,পাসপোর্ট (যৌথ নদী কমিশন),19,"পাসপোর্ট, Passport"
,1012,,,চাকরি হতে অব্যাহতি (যৌথ নদী কমিশন),19,চাকরি হতে অব্যাহতি
,1015,,,চাকুরী নিয়মিতকরন (যৌথ নদী কমিশন),19,চাকুরী নিয়মিতকরন
,1016,,,চাকুরী স্তায়ীকরন (যৌথ নদী কমিশন),19,চাকুরী স্তায়ীকরন
,1017,,,লকডাউন চলাকালীন সময়ে স্থলবন্দরসমূহ দিয়ে চিকিৎসার জন্য বাংলাদেশী নাগরিকগণের ভারত গমনের অনুমতি চেয়ে আবেদন,36,"লকডাউন চলাকালীন সময়ে স্থলবন্দরসমূহ দিয়ে চিকিৎসার জন্য বাংলাদেশী নাগরিকগণের ভারত গমনের অনুমতি চেয়ে আবেদন, Bangladeshi nationals seek permission to travel to India for treatment through land ports during lockdown"
