userID,itemID,rating,timestamp,name,description,name_en,is_external_service,external_service_link,created_at,update_on
1,,2,2024-04-25 09:50:49,বয়লার রেজিস্ট্রেশন আবেদন,,বয়লার রেজিস্ট্রেশন আবেদন,0,,2022-10-09 00:00:00,2019-05-13 14:19:28
2,,2,2023-01-22 07:49:47,অসচ্ছল প্রতিবন্ধী ভাতা মঞ্জুরীর জন্য আবেদন,,Application for Grant of Indigent Disability Allowance,0,,2022-10-09 00:00:00,2020-12-30 17:11:01
3,,2,2024-01-30 03:36:52,স্ট‍্যাম্প ভেন্ডর লাইসেন্স প্রদান (Test),,স্ট‍্যাম্প ভেন্ডর লাইসেন্স প্রদান (Test),0,,2022-10-09 00:00:00,2019-10-30 16:12:06
4,,2,2023-01-22 07:58:08,প্রাতিষ্ঠানিক (অনাবাসিক) প্রশিক্ষণ কোর্সে ভর্তির আবেদন,,প্রাতিষ্ঠানিক (অনাবাসিক) প্রশিক্ষণ কোর্সে ভর্তির আবেদন,0,,2022-10-09 00:00:00,2019-12-12 16:45:41
5,,2,2024-08-09 17:06:03,জাতীয় ভোক্তা অধিকার অভিযোগ ফরম,,National Consumer Rights Complaint Form,0,,2022-10-09 00:00:00,2022-07-06 15:28:40
6,,2,2023-10-29 04:25:33,আগ্নেয়াস্ত্রের লাইসেন্স নবায়ন,,Renewal of Firearms License,0,,2022-10-09 00:00:00,2019-05-12 12:39:26
7,,2,2023-10-29 04:30:26,খাদ্যশস্য ও খাদ্য সামগ্রী ব্যবসার লাইসেন্স প্রাপ্তির জন্য আবেদন,,Application for Foodgrains and Foodstuffs Business License,0,,2022-10-09 00:00:00,2019-05-12 10:43:30
8,,2,2023-01-23 07:16:35,জাতীয় ভোক্তা অধিকার অভিযোগ ফরম (জেলা কার্যালয়),,National Consumer Rights Complaint Form (District Office),0,,2022-10-09 00:00:00,2022-07-04 17:02:04
9,,2,2023-01-23 07:17:56,বয়লার ব্যবহারের প্রত্যয়ন পত্র নবায়নের জন্য আবেদন,,বয়লার ব্যবহারের প্রত্যয়ন পত্র নবায়নের জন্য আবেদন,0,,2022-10-09 00:00:00,2019-05-13 14:21:45
10,,2,2024-08-12 09:51:12,ছুটির জন্য আবেদন,,Apply for Leave,0,,2022-10-09 00:00:00,2022-06-30 18:47:45
11,,2,2024-08-09 17:07:11,সাধারণ আবেদন,,General Application,0,,2022-10-09 00:00:00,2022-06-28 23:28:53
12,,2,2024-08-09 16:56:50,ভেন্ডর লাইসেন্স নবায়ন,,Renewal of Vendor License ,0,,2022-10-09 00:00:00,2019-09-01 19:40:02
13,,2,2024-08-09 18:26:57,দরজা-জানালা মেরামতের জন্য আবেদন,,Application for repairing door-window,0,,2022-10-09 00:00:00,2019-07-07 12:31:31
14,,2,2024-08-12 09:12:20,বাড়ি রংকরণের জন্য আবেদন,, Application for home dyeing,0,,2022-10-09 00:00:00,2019-11-04 12:39:38
15,,2,2024-08-12 09:28:22,বাড়ির বৈদ্যুতিক ব্যবস্থা সচল রাখার জন্য আবেদন,,বাড়ির বৈদ্যুতিক ব্যবস্থা সচল রাখার জন্য আবেদন,0,,2022-10-09 00:00:00,2019-11-04 12:51:01
16,,2,2024-08-09 16:57:03,বাড়ির স্যানিটেশন ব্যবস্থা সচল রাখার জন্য আবেদন,,রপপ,0,,2022-10-09 00:00:00,2020-01-08 21:42:00
17,,2,2024-08-13 14:38:48,সাধারণ ভবিষ্য তহবিল হতে অগ্রিম উত্তোলনের আবেদন (সংস্কৃতি বিষয়ক মন্ত্রণালয়),,Application form for advance withdrawal of general provident fund ((Ministry of Cultural Affairs)),0,,2022-10-09 00:00:00,2022-06-28 23:30:12
18,,2,2024-08-12 08:59:34,সরকারি বাসা বরাদ্দের আবেদন,,Application for Allotment of Government Housing,0,,2022-10-09 00:00:00,2021-11-16 16:39:39
